Tabelle: 12621-0001;;
Sterbetafel (Periodensterbetafel): Deutschland, Jahre,;;
Geschlecht, Vollendetes Alter;;
Sterbetafeln;;
Deutschland;;
;;Sterbewahrscheinlichkeit [q(x)]
;;Ziffer
1991/93;;
;92 Jahre;0,20122144
;93 Jahre;0,21951364
;94 Jahre;0,23839036
;95 Jahre;0,25778840
;96 Jahre;0,27764408
;97 Jahre;0,29789361
;98 Jahre;0,31847341
;99 Jahre;0,33932043
;100 Jahre;0,36037247
2001/03;;
männlich;0 Jahre;0,00465517
;1 Jahr;0,00042053
;2 Jahre;0,00023474
;3 Jahre;0,00021259
;4 Jahre;0,00013958
;5 Jahre;0,00013851
;6 Jahre;0,00012442
;7 Jahre;0,00012324
;8 Jahre;0,00012044
;9 Jahre;0,00010908
;10 Jahre;0,00010357
;11 Jahre;0,00014235
;12 Jahre;0,00014375
;13 Jahre;0,00015529
;14 Jahre;0,00019947
;15 Jahre;0,00024106
;16 Jahre;0,00041722
;17 Jahre;0,00050160
;18 Jahre;0,00083119
;19 Jahre;0,00084745
;20 Jahre;0,00083643
;21 Jahre;0,00084270
;22 Jahre;0,00079287
;23 Jahre;0,00079401
;24 Jahre;0,00074620
;25 Jahre;0,00074403
;26 Jahre;0,00072108
;27 Jahre;0,00075628
;28 Jahre;0,00073870
;29 Jahre;0,00074429
;30 Jahre;0,00077255
;31 Jahre;0,00081861
;32 Jahre;0,00084589
;33 Jahre;0,00090393
;34 Jahre;0,00097590
;35 Jahre;0,00109586
;36 Jahre;0,00117032
;37 Jahre;0,00125469
;38 Jahre;0,00145178
;39 Jahre;0,00160806
;40 Jahre;0,00180729
;41 Jahre;0,00196456
;42 Jahre;0,00226035
;43 Jahre;0,00254118
;44 Jahre;0,00274822
;45 Jahre;0,00317911
;46 Jahre;0,00350487
;47 Jahre;0,00388561
;48 Jahre;0,00418095
;49 Jahre;0,00454714
;50 Jahre;0,00499968
;51 Jahre;0,00527069
;52 Jahre;0,00586760
;53 Jahre;0,00624206
;54 Jahre;0,00699452
;55 Jahre;0,00753799
;56 Jahre;0,00803221
;57 Jahre;0,00891204
;58 Jahre;0,00982465
;59 Jahre;0,01072868
;60 Jahre;0,01135155
;61 Jahre;0,01249053
;62 Jahre;0,01366138
;63 Jahre;0,01493241
;64 Jahre;0,01627038
;65 Jahre;0,01792997
;66 Jahre;0,01993987
;67 Jahre;0,02220132
;68 Jahre;0,02463185
;69 Jahre;0,02668442
;70 Jahre;0,02967049
;71 Jahre;0,03307239
;72 Jahre;0,03634178
;73 Jahre;0,03953377
;74 Jahre;0,04307699
;75 Jahre;0,04656690
;76 Jahre;0,05079413
;77 Jahre;0,05651152
;78 Jahre;0,06228936
;79 Jahre;0,06835014
;80 Jahre;0,07654663
;81 Jahre;0,08681498
;82 Jahre;0,09368927
;83 Jahre;0,10329997
;84 Jahre;0,10813493
;85 Jahre;0,12164800
;86 Jahre;0,13889880
;87 Jahre;0,15254290
;88 Jahre;0,16961658
;89 Jahre;0,18070297
;90 Jahre;0,19577675
;91 Jahre;0,21479858
;92 Jahre;0,23177391
;93 Jahre;0,24925460
;94 Jahre;0,26718905
;95 Jahre;0,28552527
;96 Jahre;0,30421119
;97 Jahre;0,32319485
;98 Jahre;0,34242465
;99 Jahre;0,36184962
;100 Jahre;0,38141955
weiblich;0 Jahre;0,00379371
;1 Jahr;0,00037663
;2 Jahre;0,00020059
;3 Jahre;0,00017456
;4 Jahre;0,00013694
;5 Jahre;0,00012039
;6 Jahre;0,00011221
;7 Jahre;0,00008406
;8 Jahre;0,00009458
;9 Jahre;0,00007931
;10 Jahre;0,00008690
;11 Jahre;0,00009266
;12 Jahre;0,00009495
;13 Jahre;0,00011184
;14 Jahre;0,00013923
;15 Jahre;0,00017284
;16 Jahre;0,00020633
;17 Jahre;0,00023255
;18 Jahre;0,00031124
;19 Jahre;0,00031693
;20 Jahre;0,00032397
;21 Jahre;0,00026637
;22 Jahre;0,00026246
;23 Jahre;0,00027357
;24 Jahre;0,00026283
;25 Jahre;0,00026676
;26 Jahre;0,00027290
;27 Jahre;0,00030443
;28 Jahre;0,00030703
;29 Jahre;0,00030235
;30 Jahre;0,00033311
;31 Jahre;0,00035868
;32 Jahre;0,00035709
;33 Jahre;0,00040199
;34 Jahre;0,00048353
;35 Jahre;0,00055063
;36 Jahre;0,00061539
;37 Jahre;0,00065925
;38 Jahre;0,00074500
;39 Jahre;0,00085084
;40 Jahre;0,00093003
;41 Jahre;0,00106232
;42 Jahre;0,00115548
;43 Jahre;0,00134410
;44 Jahre;0,00146688
;45 Jahre;0,00163454
;46 Jahre;0,00181198
;47 Jahre;0,00196138
;48 Jahre;0,00215841
;49 Jahre;0,00241692
;50 Jahre;0,00257463
;51 Jahre;0,00279894
;52 Jahre;0,00309429
;53 Jahre;0,00326609
;54 Jahre;0,00362349
;55 Jahre;0,00377403
;56 Jahre;0,00409093
;57 Jahre;0,00447491
;58 Jahre;0,00484677
;59 Jahre;0,00502918
;60 Jahre;0,00537149
;61 Jahre;0,00585490
;62 Jahre;0,00635751
;63 Jahre;0,00700560
;64 Jahre;0,00753980
;65 Jahre;0,00846609
;66 Jahre;0,00951318
;67 Jahre;0,01053061
;68 Jahre;0,01185049
;69 Jahre;0,01311632
;70 Jahre;0,01479707
;71 Jahre;0,01662798
;72 Jahre;0,01855674
;73 Jahre;0,02082982
;74 Jahre;0,02333890
;75 Jahre;0,02644700
;76 Jahre;0,02964838
;77 Jahre;0,03338035
;78 Jahre;0,03802033
;79 Jahre;0,04343950
;80 Jahre;0,05004267
;81 Jahre;0,05877018
;82 Jahre;0,06446614
;83 Jahre;0,07297823
;84 Jahre;0,07836078
;85 Jahre;0,09031868
;86 Jahre;0,10544868
;87 Jahre;0,11808867
;88 Jahre;0,13358881
;89 Jahre;0,14741244
;90 Jahre;0,16472697
;91 Jahre;0,18805155
;92 Jahre;0,20585573
;93 Jahre;0,22425901
;94 Jahre;0,24320117
;95 Jahre;0,26262136
;96 Jahre;0,28245848
;97 Jahre;0,30265145
;98 Jahre;0,32313952
;99 Jahre;0,34386260
;100 Jahre;0,36476150
2002/04;;
männlich;0 Jahre;0,00456230
;1 Jahr;0,00040399
;2 Jahre;0,00020133
;3 Jahre;0,00018242
;4 Jahre;0,00013410
;5 Jahre;0,00013694
;6 Jahre;0,00011655
;7 Jahre;0,00012348
;8 Jahre;0,00011890
;9 Jahre;0,00009358
;10 Jahre;0,00009397
;11 Jahre;0,00014447
;12 Jahre;0,00013059
;13 Jahre;0,00012966
;14 Jahre;0,00018449
;15 Jahre;0,00023589
;16 Jahre;0,00038302
;17 Jahre;0,00050686
;18 Jahre;0,00075850
;19 Jahre;0,00080541
;20 Jahre;0,00076026
;21 Jahre;0,00078409
;22 Jahre;0,00075396
;23 Jahre;0,00074121
;24 Jahre;0,00072558
;25 Jahre;0,00073146
;26 Jahre;0,00071517
;27 Jahre;0,00071515
;28 Jahre;0,00073504
;29 Jahre;0,00070334
;30 Jahre;0,00073056
;31 Jahre;0,00078968
;32 Jahre;0,00081925
;33 Jahre;0,00087721
;34 Jahre;0,00095509
;35 Jahre;0,00104649
;36 Jahre;0,00112884
;37 Jahre;0,00120814
;38 Jahre;0,00137796
;39 Jahre;0,00154128
;40 Jahre;0,00172219
;41 Jahre;0,00189968
;42 Jahre;0,00220554
;43 Jahre;0,00247553
;44 Jahre;0,00268284
;45 Jahre;0,00307706
;46 Jahre;0,00339426
;47 Jahre;0,00374801
;48 Jahre;0,00408247
;49 Jahre;0,00448834
;50 Jahre;0,00495533
;51 Jahre;0,00518080
;52 Jahre;0,00586486
;53 Jahre;0,00628560
;54 Jahre;0,00679005
;55 Jahre;0,00748540
;56 Jahre;0,00783134
;57 Jahre;0,00865280
;58 Jahre;0,00953004
;59 Jahre;0,01051117
;60 Jahre;0,01125835
;61 Jahre;0,01201121
;62 Jahre;0,01346978
;63 Jahre;0,01445092
;64 Jahre;0,01578176
;65 Jahre;0,01751311
;66 Jahre;0,01913461
;67 Jahre;0,02142009
;68 Jahre;0,02363984
;69 Jahre;0,02575185
;70 Jahre;0,02851814
;71 Jahre;0,03149067
;72 Jahre;0,03520509
;73 Jahre;0,03878444
;74 Jahre;0,04245583
;75 Jahre;0,04623541
;76 Jahre;0,04988595
;77 Jahre;0,05473617
;78 Jahre;0,06070293
;79 Jahre;0,06659321
;80 Jahre;0,07431867
;81 Jahre;0,08210466
;82 Jahre;0,09386364
;83 Jahre;0,10189520
;84 Jahre;0,11026491
;85 Jahre;0,11620563
;86 Jahre;0,13246530
;87 Jahre;0,15017327
;88 Jahre;0,16550115
;89 Jahre;0,17979672
;90 Jahre;0,19401245
;91 Jahre;0,21270167
;92 Jahre;0,22991524
;93 Jahre;0,24766199
;94 Jahre;0,26588728
;95 Jahre;0,28453604
;96 Jahre;0,30355303
;97 Jahre;0,32288316
;98 Jahre;0,34247170
;99 Jahre;0,36226456
;100 Jahre;0,38220849
weiblich;0 Jahre;0,00379694
;1 Jahr;0,00035814
;2 Jahre;0,00019771
;3 Jahre;0,00017165
;4 Jahre;0,00012916
;5 Jahre;0,00013072
;6 Jahre;0,00009215
;7 Jahre;0,00008709
;8 Jahre;0,00009599
;9 Jahre;0,00006462
;10 Jahre;0,00008409
;11 Jahre;0,00009378
;12 Jahre;0,00008493
;13 Jahre;0,00009689
;14 Jahre;0,00011652
;15 Jahre;0,00017867
;16 Jahre;0,00021177
;17 Jahre;0,00022002
;18 Jahre;0,00028759
;19 Jahre;0,00027721
;20 Jahre;0,00031586
;21 Jahre;0,00024467
;22 Jahre;0,00027074
;23 Jahre;0,00026091
;24 Jahre;0,00027168
;25 Jahre;0,00024607
;26 Jahre;0,00027996
;27 Jahre;0,00029143
;28 Jahre;0,00029682
;29 Jahre;0,00029271
;30 Jahre;0,00032742
;31 Jahre;0,00035721
;32 Jahre;0,00035558
;33 Jahre;0,00039958
;34 Jahre;0,00046882
;35 Jahre;0,00051196
;36 Jahre;0,00056546
;37 Jahre;0,00061322
;38 Jahre;0,00069951
;39 Jahre;0,00080026
;40 Jahre;0,00086998
;41 Jahre;0,00098849
;42 Jahre;0,00112467
;43 Jahre;0,00129802
;44 Jahre;0,00139201
;45 Jahre;0,00158601
;46 Jahre;0,00179598
;47 Jahre;0,00194465
;48 Jahre;0,00211993
;49 Jahre;0,00240672
;50 Jahre;0,00252663
;51 Jahre;0,00277724
;52 Jahre;0,00302321
;53 Jahre;0,00315754
;54 Jahre;0,00347824
;55 Jahre;0,00378686
;56 Jahre;0,00401472
;57 Jahre;0,00446309
;58 Jahre;0,00481563
;59 Jahre;0,00508378
;60 Jahre;0,00550425
;61 Jahre;0,00562735
;62 Jahre;0,00629290
;63 Jahre;0,00680184
;64 Jahre;0,00731282
;65 Jahre;0,00816737
;66 Jahre;0,00905658
;67 Jahre;0,01016499
;68 Jahre;0,01143757
;69 Jahre;0,01275818
;70 Jahre;0,01421353
;71 Jahre;0,01621227
;72 Jahre;0,01802911
;73 Jahre;0,02037236
;74 Jahre;0,02276171
;75 Jahre;0,02592753
;76 Jahre;0,02894834
;77 Jahre;0,03253251
;78 Jahre;0,03706211
;79 Jahre;0,04206615
;80 Jahre;0,04871436
;81 Jahre;0,05574389
;82 Jahre;0,06462412
;83 Jahre;0,07165792
;84 Jahre;0,08036154
;85 Jahre;0,08682463
;86 Jahre;0,10081441
;87 Jahre;0,11787768
;88 Jahre;0,13152703
;89 Jahre;0,14822480
;90 Jahre;0,16346191
;91 Jahre;0,18739999
;92 Jahre;0,20538996
;93 Jahre;0,22399084
;94 Jahre;0,24314056
;95 Jahre;0,26277646
;96 Jahre;0,28283557
;97 Jahre;0,30325499
;98 Jahre;0,32397218
;99 Jahre;0,34492526
;100 Jahre;0,36605334
2003/05;;
männlich;0 Jahre;0,00451084
;1 Jahr;0,00038944
;2 Jahre;0,00020135
;3 Jahre;0,00018239
;4 Jahre;0,00014866
;5 Jahre;0,00012825
;6 Jahre;0,00011832
;7 Jahre;0,00011816
;8 Jahre;0,00011928
;9 Jahre;0,00010729
;10 Jahre;0,00008460
;11 Jahre;0,00012584
;12 Jahre;0,00012554
;13 Jahre;0,00013676
;14 Jahre;0,00018145
;15 Jahre;0,00022642
;16 Jahre;0,00034123
;17 Jahre;0,00046401
;18 Jahre;0,00068617
;19 Jahre;0,00071017
;20 Jahre;0,00070066
;21 Jahre;0,00072785
;22 Jahre;0,00068067
;23 Jahre;0,00069064
;24 Jahre;0,00069643
;25 Jahre;0,00070472
;26 Jahre;0,00071833
;27 Jahre;0,00070524
;28 Jahre;0,00071006
;29 Jahre;0,00068044
;30 Jahre;0,00068753
;31 Jahre;0,00079318
;32 Jahre;0,00080416
;33 Jahre;0,00085867
;34 Jahre;0,00091499
;35 Jahre;0,00100667
;36 Jahre;0,00108267
;37 Jahre;0,00112074
;38 Jahre;0,00129453
;39 Jahre;0,00146540
;40 Jahre;0,00161589
;41 Jahre;0,00183312
;42 Jahre;0,00209861
;43 Jahre;0,00237445
;44 Jahre;0,00256874
;45 Jahre;0,00289772
;46 Jahre;0,00329484
;47 Jahre;0,00363219
;48 Jahre;0,00396315
;49 Jahre;0,00437119
;50 Jahre;0,00480543
;51 Jahre;0,00513794
;52 Jahre;0,00577869
;53 Jahre;0,00622695
;54 Jahre;0,00675999
;55 Jahre;0,00729371
;56 Jahre;0,00791996
;57 Jahre;0,00844918
;58 Jahre;0,00937445
;59 Jahre;0,01011386
;60 Jahre;0,01101201
;61 Jahre;0,01193789
;62 Jahre;0,01304687
;63 Jahre;0,01410076
;64 Jahre;0,01532269
;65 Jahre;0,01708836
;66 Jahre;0,01855754
;67 Jahre;0,02021381
;68 Jahre;0,02282079
;69 Jahre;0,02477922
;70 Jahre;0,02761289
;71 Jahre;0,03009593
;72 Jahre;0,03382251
;73 Jahre;0,03719921
;74 Jahre;0,04121803
;75 Jahre;0,04548841
;76 Jahre;0,04927258
;77 Jahre;0,05391886
;78 Jahre;0,05916808
;79 Jahre;0,06507627
;80 Jahre;0,07199856
;81 Jahre;0,07983827
;82 Jahre;0,08937897
;83 Jahre;0,10218448
;84 Jahre;0,10894562
;85 Jahre;0,11903038
;86 Jahre;0,12657245
;87 Jahre;0,14227289
;88 Jahre;0,16120918
;89 Jahre;0,17586052
;90 Jahre;0,19395830
;91 Jahre;0,20835128
;92 Jahre;0,22553147
;93 Jahre;0,24327369
;94 Jahre;0,26152179
;95 Jahre;0,28021908
;96 Jahre;0,29930863
;97 Jahre;0,31873354
;98 Jahre;0,33843726
;99 Jahre;0,35836379
;100 Jahre;0,37845799
weiblich;0 Jahre;0,00364376
;1 Jahr;0,00033337
;2 Jahre;0,00020093
;3 Jahre;0,00014566
;4 Jahre;0,00011137
;5 Jahre;0,00012212
;6 Jahre;0,00010599
;7 Jahre;0,00009640
;8 Jahre;0,00009130
;9 Jahre;0,00006823
;10 Jahre;0,00009171
;11 Jahre;0,00010289
;12 Jahre;0,00007868
;13 Jahre;0,00009154
;14 Jahre;0,00012703
;15 Jahre;0,00016234
;16 Jahre;0,00018952
;17 Jahre;0,00021316
;18 Jahre;0,00026594
;19 Jahre;0,00025739
;20 Jahre;0,00029021
;21 Jahre;0,00023157
;22 Jahre;0,00025046
;23 Jahre;0,00025254
;24 Jahre;0,00025075
;25 Jahre;0,00023747
;26 Jahre;0,00026740
;27 Jahre;0,00026775
;28 Jahre;0,00026547
;29 Jahre;0,00029716
;30 Jahre;0,00033373
;31 Jahre;0,00034423
;32 Jahre;0,00034293
;33 Jahre;0,00039751
;34 Jahre;0,00044397
;35 Jahre;0,00049560
;36 Jahre;0,00053797
;37 Jahre;0,00059557
;38 Jahre;0,00065715
;39 Jahre;0,00077405
;40 Jahre;0,00083526
;41 Jahre;0,00093931
;42 Jahre;0,00108963
;43 Jahre;0,00123500
;44 Jahre;0,00135347
;45 Jahre;0,00150483
;46 Jahre;0,00173920
;47 Jahre;0,00187898
;48 Jahre;0,00209775
;49 Jahre;0,00236140
;50 Jahre;0,00247890
;51 Jahre;0,00266865
;52 Jahre;0,00294793
;53 Jahre;0,00312245
;54 Jahre;0,00341983
;55 Jahre;0,00371245
;56 Jahre;0,00405963
;57 Jahre;0,00435089
;58 Jahre;0,00478914
;59 Jahre;0,00506206
;60 Jahre;0,00549403
;61 Jahre;0,00581899
;62 Jahre;0,00623931
;63 Jahre;0,00667728
;64 Jahre;0,00711760
;65 Jahre;0,00787885
;66 Jahre;0,00871193
;67 Jahre;0,00972435
;68 Jahre;0,01091247
;69 Jahre;0,01240468
;70 Jahre;0,01380363
;71 Jahre;0,01548028
;72 Jahre;0,01750760
;73 Jahre;0,01967218
;74 Jahre;0,02202528
;75 Jahre;0,02494447
;76 Jahre;0,02821995
;77 Jahre;0,03150348
;78 Jahre;0,03607521
;79 Jahre;0,04108128
;80 Jahre;0,04726464
;81 Jahre;0,05397396
;82 Jahre;0,06151974
;83 Jahre;0,07228653
;84 Jahre;0,07894514
;85 Jahre;0,09023705
;86 Jahre;0,09690964
;87 Jahre;0,11236090
;88 Jahre;0,13087515
;89 Jahre;0,14528430
;90 Jahre;0,16392528
;91 Jahre;0,18532939
;92 Jahre;0,20331063
;93 Jahre;0,22191342
;94 Jahre;0,24107518
;95 Jahre;0,26073268
;96 Jahre;0,28082234
;97 Jahre;0,30128061
;98 Jahre;0,32204428
;99 Jahre;0,34305080
;100 Jahre;0,36423858
2004/06;;
männlich;0 Jahre;0,00432604
;1 Jahr;0,00036356
;2 Jahre;0,00019410
;3 Jahre;0,00017134
;4 Jahre;0,00014105
;5 Jahre;0,00012599
;6 Jahre;0,00010617
;7 Jahre;0,00010544
;8 Jahre;0,00010522
;9 Jahre;0,00010454
;10 Jahre;0,00007695
;11 Jahre;0,00010544
;12 Jahre;0,00012572
;13 Jahre;0,00013736
;14 Jahre;0,00015228
;15 Jahre;0,00020584
;16 Jahre;0,00031440
;17 Jahre;0,00041773
;18 Jahre;0,00064855
;19 Jahre;0,00065081
;20 Jahre;0,00064643
;21 Jahre;0,00065189
;22 Jahre;0,00065174
;23 Jahre;0,00063690
;24 Jahre;0,00064123
;25 Jahre;0,00064639
;26 Jahre;0,00068130
;27 Jahre;0,00063049
;28 Jahre;0,00066143
;29 Jahre;0,00064984
;30 Jahre;0,00066184
;31 Jahre;0,00073431
;32 Jahre;0,00076775
;33 Jahre;0,00081938
;34 Jahre;0,00086970
;35 Jahre;0,00093739
;36 Jahre;0,00100210
;37 Jahre;0,00108208
;38 Jahre;0,00122872
;39 Jahre;0,00139277
;40 Jahre;0,00155846
;41 Jahre;0,00172042
;42 Jahre;0,00197365
;43 Jahre;0,00222525
;44 Jahre;0,00250971
;45 Jahre;0,00275815
;46 Jahre;0,00308425
;47 Jahre;0,00346504
;48 Jahre;0,00380670
;49 Jahre;0,00422433
;50 Jahre;0,00460442
;51 Jahre;0,00512064
;52 Jahre;0,00568705
;53 Jahre;0,00607822
;54 Jahre;0,00666080
;55 Jahre;0,00717726
;56 Jahre;0,00771242
;57 Jahre;0,00833402
;58 Jahre;0,00907616
;59 Jahre;0,00991810
;60 Jahre;0,01073692
;61 Jahre;0,01163549
;62 Jahre;0,01283776
;63 Jahre;0,01366894
;64 Jahre;0,01480399
;65 Jahre;0,01642745
;66 Jahre;0,01787876
;67 Jahre;0,01934469
;68 Jahre;0,02140247
;69 Jahre;0,02370240
;70 Jahre;0,02634090
;71 Jahre;0,02904088
;72 Jahre;0,03179613
;73 Jahre;0,03538244
;74 Jahre;0,03954351
;75 Jahre;0,04380310
;76 Jahre;0,04810746
;77 Jahre;0,05239847
;78 Jahre;0,05739465
;79 Jahre;0,06273122
;80 Jahre;0,06896074
;81 Jahre;0,07691761
;82 Jahre;0,08635936
;83 Jahre;0,09626832
;84 Jahre;0,10939360
;85 Jahre;0,11680455
;86 Jahre;0,12747023
;87 Jahre;0,13256976
;88 Jahre;0,15034173
;89 Jahre;0,16961307
;90 Jahre;0,18542141
;91 Jahre;0,20436998
;92 Jahre;0,22165607
;93 Jahre;0,23953261
;94 Jahre;0,25794119
;95 Jahre;0,27682279
;96 Jahre;0,29611808
;97 Jahre;0,31576772
;98 Jahre;0,33571265
;99 Jahre;0,35589439
;100 Jahre;0,37625532
weiblich;0 Jahre;0,00356586
;1 Jahr;0,00029872
;2 Jahre;0,00019304
;3 Jahre;0,00013378
;4 Jahre;0,00011215
;5 Jahre;0,00010165
;6 Jahre;0,00009713
;7 Jahre;0,00008297
;8 Jahre;0,00008530
;9 Jahre;0,00006372
;10 Jahre;0,00007684
;11 Jahre;0,00010011
;12 Jahre;0,00007895
;13 Jahre;0,00010454
;14 Jahre;0,00012067
;15 Jahre;0,00016071
;16 Jahre;0,00016626
;17 Jahre;0,00018972
;18 Jahre;0,00025491
;19 Jahre;0,00025202
;20 Jahre;0,00025528
;21 Jahre;0,00021496
;22 Jahre;0,00025313
;23 Jahre;0,00025255
;24 Jahre;0,00023354
;25 Jahre;0,00022939
;26 Jahre;0,00024966
;27 Jahre;0,00026354
;28 Jahre;0,00024112
;29 Jahre;0,00028860
;30 Jahre;0,00032115
;31 Jahre;0,00032050
;32 Jahre;0,00035124
;33 Jahre;0,00038818
;34 Jahre;0,00041073
;35 Jahre;0,00047832
;36 Jahre;0,00052648
;37 Jahre;0,00058453
;38 Jahre;0,00060948
;39 Jahre;0,00071997
;40 Jahre;0,00081181
;41 Jahre;0,00089124
;42 Jahre;0,00104771
;43 Jahre;0,00118449
;44 Jahre;0,00126859
;45 Jahre;0,00150767
;46 Jahre;0,00168535
;47 Jahre;0,00185971
;48 Jahre;0,00200361
;49 Jahre;0,00229011
;50 Jahre;0,00244184
;51 Jahre;0,00260892
;52 Jahre;0,00285169
;53 Jahre;0,00305186
;54 Jahre;0,00331342
;55 Jahre;0,00363018
;56 Jahre;0,00393012
;57 Jahre;0,00437480
;58 Jahre;0,00463803
;59 Jahre;0,00501321
;60 Jahre;0,00541093
;61 Jahre;0,00591485
;62 Jahre;0,00627934
;63 Jahre;0,00654167
;64 Jahre;0,00698496
;65 Jahre;0,00760442
;66 Jahre;0,00844806
;67 Jahre;0,00935352
;68 Jahre;0,01029691
;69 Jahre;0,01184400
;70 Jahre;0,01313070
;71 Jahre;0,01488620
;72 Jahre;0,01663076
;73 Jahre;0,01888027
;74 Jahre;0,02122106
;75 Jahre;0,02395087
;76 Jahre;0,02741310
;77 Jahre;0,03044858
;78 Jahre;0,03468171
;79 Jahre;0,03983386
;80 Jahre;0,04565069
;81 Jahre;0,05184257
;82 Jahre;0,05929676
;83 Jahre;0,06820619
;84 Jahre;0,07904787
;85 Jahre;0,08847464
;86 Jahre;0,09938366
;87 Jahre;0,10573605
;88 Jahre;0,12308448
;89 Jahre;0,14203541
;90 Jahre;0,15867644
;91 Jahre;0,18158644
;92 Jahre;0,19960537
;93 Jahre;0,21827493
;94 Jahre;0,23753056
;95 Jahre;0,25730693
;96 Jahre;0,27753830
;97 Jahre;0,29815888
;98 Jahre;0,31910315
;99 Jahre;0,34030626
;100 Jahre;0,36170429
2005/07;;
männlich;0 Jahre;0,00427152
;1 Jahr;0,00036007
;2 Jahre;0,00018252
;3 Jahre;0,00016971
;4 Jahre;0,00014840
;5 Jahre;0,00013164
;6 Jahre;0,00011022
;7 Jahre;0,00010466
;8 Jahre;0,00011200
;9 Jahre;0,00009877
;10 Jahre;0,00008168
;11 Jahre;0,00009492
;12 Jahre;0,00012792
;13 Jahre;0,00012644
;14 Jahre;0,00014775
;15 Jahre;0,00019625
;16 Jahre;0,00031956
;17 Jahre;0,00036369
;18 Jahre;0,00060639
;19 Jahre;0,00061234
;20 Jahre;0,00063227
;21 Jahre;0,00062832
;22 Jahre;0,00061797
;23 Jahre;0,00060003
;24 Jahre;0,00061055
;25 Jahre;0,00061347
;26 Jahre;0,00065780
;27 Jahre;0,00062886
;28 Jahre;0,00064291
;29 Jahre;0,00063795
;30 Jahre;0,00064327
;31 Jahre;0,00073478
;32 Jahre;0,00073317
;33 Jahre;0,00078258
;34 Jahre;0,00083276
;35 Jahre;0,00088827
;36 Jahre;0,00095498
;37 Jahre;0,00102681
;38 Jahre;0,00115027
;39 Jahre;0,00131083
;40 Jahre;0,00148089
;41 Jahre;0,00161515
;42 Jahre;0,00181294
;43 Jahre;0,00211039
;44 Jahre;0,00238325
;45 Jahre;0,00263585
;46 Jahre;0,00295210
;47 Jahre;0,00334553
;48 Jahre;0,00375946
;49 Jahre;0,00412484
;50 Jahre;0,00448302
;51 Jahre;0,00506061
;52 Jahre;0,00554416
;53 Jahre;0,00594961
;54 Jahre;0,00658220
;55 Jahre;0,00711872
;56 Jahre;0,00770903
;57 Jahre;0,00799689
;58 Jahre;0,00913372
;59 Jahre;0,00964959
;60 Jahre;0,01057500
;61 Jahre;0,01138403
;62 Jahre;0,01259761
;63 Jahre;0,01366823
;64 Jahre;0,01445135
;65 Jahre;0,01612380
;66 Jahre;0,01737502
;67 Jahre;0,01890935
;68 Jahre;0,02065510
;69 Jahre;0,02259403
;70 Jahre;0,02528835
;71 Jahre;0,02810935
;72 Jahre;0,03100952
;73 Jahre;0,03378472
;74 Jahre;0,03814025
;75 Jahre;0,04249458
;76 Jahre;0,04701421
;77 Jahre;0,05159666
;78 Jahre;0,05686329
;79 Jahre;0,06147226
;80 Jahre;0,06832628
;81 Jahre;0,07584059
;82 Jahre;0,08441966
;83 Jahre;0,09398568
;84 Jahre;0,10455529
;85 Jahre;0,11754850
;86 Jahre;0,12724586
;87 Jahre;0,13810614
;88 Jahre;0,14550263
;89 Jahre;0,16273186
;90 Jahre;0,18287090
;91 Jahre;0,20914730
;92 Jahre;0,22716800
;93 Jahre;0,24270691
;94 Jahre;0,25878572
;95 Jahre;0,27817203
;96 Jahre;0,29799275
;97 Jahre;0,31818358
;98 Jahre;0,33868056
;99 Jahre;0,35942043
;100 Jahre;0,38034087
weiblich;0 Jahre;0,00345865
;1 Jahr;0,00029482
;2 Jahre;0,00018065
;3 Jahre;0,00013215
;4 Jahre;0,00010408
;5 Jahre;0,00008959
;6 Jahre;0,00009386
;7 Jahre;0,00008335
;8 Jahre;0,00007017
;9 Jahre;0,00006826
;10 Jahre;0,00007664
;11 Jahre;0,00009062
;12 Jahre;0,00008226
;13 Jahre;0,00010932
;14 Jahre;0,00012805
;15 Jahre;0,00014451
;16 Jahre;0,00014319
;17 Jahre;0,00018287
;18 Jahre;0,00024109
;19 Jahre;0,00024033
;20 Jahre;0,00021832
;21 Jahre;0,00020972
;22 Jahre;0,00024212
;23 Jahre;0,00025072
;24 Jahre;0,00021095
;25 Jahre;0,00023102
;26 Jahre;0,00023748
;27 Jahre;0,00024412
;28 Jahre;0,00023688
;29 Jahre;0,00029638
;30 Jahre;0,00031203
;31 Jahre;0,00032304
;32 Jahre;0,00034510
;33 Jahre;0,00039662
;34 Jahre;0,00040069
;35 Jahre;0,00045779
;36 Jahre;0,00051680
;37 Jahre;0,00055844
;38 Jahre;0,00058746
;39 Jahre;0,00072989
;40 Jahre;0,00076735
;41 Jahre;0,00087239
;42 Jahre;0,00104232
;43 Jahre;0,00113936
;44 Jahre;0,00121426
;45 Jahre;0,00147906
;46 Jahre;0,00161180
;47 Jahre;0,00179972
;48 Jahre;0,00194139
;49 Jahre;0,00216439
;50 Jahre;0,00241580
;51 Jahre;0,00256771
;52 Jahre;0,00281587
;53 Jahre;0,00306562
;54 Jahre;0,00326665
;55 Jahre;0,00364848
;56 Jahre;0,00391139
;57 Jahre;0,00426502
;58 Jahre;0,00463787
;59 Jahre;0,00481655
;60 Jahre;0,00544365
;61 Jahre;0,00593689
;62 Jahre;0,00623577
;63 Jahre;0,00664824
;64 Jahre;0,00689184
;65 Jahre;0,00756644
;66 Jahre;0,00821887
;67 Jahre;0,00912344
